amr1
"# ::id 0
# ::annotator indoamrbart-mbart-fted
# ::snt ""Amrozi menuduh saudaranya, yang ia sebut """"saksi"""", dengan sengaja mendistorsi buktinya.""
(z0 / menu-01
                                                                :op1 ""Amsterdam""))))))"
"# ::id 3964
# ::annotator indoamrbart-mbart-fted
# ::snt Chips Michelle Wie Minggu selama kemenangannya atas Virada Nirapathpongporn di Kejuaraan Tautan Publik Amatir Wanita ke-27 AS.
(z0 / kemenangan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Michelle""
                        :op2 ""wie""))
    :ARG1 (z3 / orang
              :wiki -
              :name (z4 / nama
                        :op1 ""Nirapathpongporn""))
    :ARG2 (z5 / juara
              :wiki -
              :name (z6 / nama
                        :op1 ""Tautan""
                        :op2 ""Publik""
                        :op3 ""Amatir""
                        :op4 ""Wanita"")
              :poss (z7 / negara
                        :wiki ""UnitedStates""
                        :name (z8 / nama
                                  :op1 ""U.S.""))
              :ord (z9 / entitas-ordinal))
    :time (z10 / entitas-tanggal
               :weekday (z11 / minggu)))"
"# ::id 3965
# ::annotator indoamrbart-mbart-fted
# ::snt ""Rendisi Powell tentang percakapan ketiga membuatnya lebih memberatkan, dengan mengatakan seorang petugas memerintahkan agar daerah itu """"dibersihkan.""""""
(z0 / katakan-01
    :ARG0 (z1 / orang
              :wiki -
              :name (z2 / nama
                        :op1 ""Powell""))
    :ARG1 (z3 / membuat-01
              :ARG0 (z4 / bercakap-01
                        :ord (z5 / entitas-ordinal))
              :ARG1-of (z6 / memiliki-derajat-91
